Occupancy description,scheme,label
Red Sandstone School,ATC,25
Red Stone Edging,ATC,23
Red Top Bridge,ATC,23
Red Zone Booster Station,ATC,23
Redi-Rock Concrete Ampitheater,ATC,23
Redlands Pump Station - SCADA,ATC,31
"Redlands Pump Station (excludes building) Equipment only: (2) 75hp and (2) 7.5hp pumps, 200kw interior standby generator and controls.",ATC,31
Redstone Elementary - Restroom,ATC,10
Redstone Park - Batting Range,ATC,10
Redstone Park - East Storage Bldg,ATC,6
Redstone Park - Fleet Shop,ATC,6
Redstone Park - Operations Building Renovation,ATC,10
Redstone Park - Playground,ATC,10
Redstone Park - Rec Storage Bldg,ATC,6
Redstone Park - Scoreboards,ATC,10
Redstone Park - Tennis Pro Shop,ATC,10
Redstone Park - West Storage Bldg,ATC,6
Redstone Park Concession Building,ATC,6
Redstone Park Operation Building,ATC,10
Redstone Park Restrooms,ATC,10
Redstone Park Shelters,ATC,10
Redstone Park Skate Park,ATC,10
Red-Tail Park - Playground,ATC,10
Red-Tail Park - Restrooms,ATC,10
Red-Tail Park - Retaining Wall,ATC,10
Red-Tail Park - Shelter,ATC,10
"Refurbishment of 275,000 Gallon Water Tank",ATC,31
Regency Transit Bus Point,ATC,23
Regency Vault,ATC,23
"Regency Well, Well House & Telemetry",ATC,31
Regional Pump and Wells,ATC,31
Regional Sampling Station,ATC,23
Regional Water Reclamation Facilityincluding Equipment and Generator,ATC,31
Regulators Signage,ATC,23
Remote Control Road Gate and Two Rock Monuments,ATC,10
Rental Dwelling,ATC,31
Rental House,ATC,3
Rental Storage Building (Contents only),ATC,6
Rented Office Space for Contents,ATC,8
Repeater Building and Tower/Antenna,ATC,23
"Reserve at Pagosa Park - 200,000 Gallon Water Tank",ATC,10
"Reserve Tank 100,000 gal",ATC,31
Reservoir,ATC,36
"Reservoir Hill Water Storage Tank 500,000 Gal",ATC,31
Reservoir Liner,ATC,36
Reservoir Liners,ATC,36
Reservoir Terminal Facility,ATC,36
"Reservoir Tower & Bridge (gates, hydraulics, wiring); Front Gate",ATC,36
Reservoir-U/G Concrete Tank-1MillGal,ATC,36
Residence,ATC,1
Residental House,ATC,23
Residential Dwelling,ATC,31
Restroom,ATC,10
Restroom - EP Golf Course Hole #4,ATC,10
Restroom - Green,ATC,10
Restroom - South Lawn Community Park,ATC,10
Restroom @ Elmgreen,ATC,10
Restroom Building,ATC,10
"Restroom Building and Pump Station includes: locker rooms, (3) filters, pumps, piping and controls.",ATC,31
"Restroom Building and Pump Station includes: locker rooms, filter, pumps, piping and controls.",ATC,31
Restroom Facilities at Sanderson Park,ATC,10
Restroom Facility,ATC,10
Restroom Facility-Wichita Parking Lot,ATC,11
"Restroom Rainshelter 3 @ $68,334 each",ATC,10
Restroom/Community Room Structure,ATC,10
Restroom/Concession,ATC,10
Restroom/Concession/Pavillion,ATC,10
Restroom/Rainshelter,ATC,10
Restroom/Shooting Gallery Building,ATC,10
Restroom/storage bldg,ATC,10
Restroom-Fisherman's,ATC,10
Restrooms,ATC,10
Restrooms @ Robert F. Clement Park,ATC,10
Restrooms at Town Park,ATC,10
Restrooms by Playground,ATC,10
Restrooms with Warning System,ATC,10
Restrooms with Warning System on course hole #16,ATC,10
Restrooms/Storage - Lovell Park Lower,ATC,10
Restrooms/Storage - Lovell Park upper,ATC,10
Retaining Wall,ATC,23
Retaining Wall - 51’ long x 1’ high,ATC,23
Retaining Wall  No. 16,ATC,23
Retaining Wall - SW corner Lot 13A - Highfield Business park,ATC,10
Retaining Wall #10,ATC,23
Retaining Wall #11,ATC,23
Retaining Wall #7,ATC,23
Retaining Wall #8,ATC,23
Retaining Wall #9,ATC,23
Retaining Wall & Trash Carport,ATC,39
Retaining Wall & Vacinity Lights,ATC,23
Retaining Wall Detention Pond 950 No. 10,ATC,31
Retaining Wall for Storm Drainage Improv,ATC,36
Retaining Wall No. 14,ATC,23
Retaining Wall No. 15,ATC,23
Retaining Wall No.9,ATC,23
"Retaining Wall-expansion of sidewalk,trails, lighting,landscaping & drainage",ATC,36
Retaining Walls,ATC,23
Retaining Walls (305 Lineal Feet),ATC,23
Retaining Walls (8 sections),ATC,23
Retaining Walls375000,ATC,23
Retaining Wall--Tract A Dublin North Filing 2,ATC,23
Retaining Wall--Tract B Dublin North Filing 1,ATC,23
"Retention Basin includes: (2) 75hp and (2) 15hp pumps, basin, and controls.",ATC,31
Retention Pond,ATC,31
Retreat Park - Playground Equipment,ATC,10
"Retrofitting Basins SBR 1-2-3 incl. aeration basin, controls, and valves.  SI: fencing.",ATC,23
Reunion Recreation Center:  Concession Building,ATC,6
Reunion Recreation Center:  Pool House,ATC,10
Reunion Recreation Center:  Recreation Center,ATC,10
Reunion Recreation Center:  Swimming Pool,ATC,10
Reuse Transfer Pump Station Bldg. #6,ATC,31
Reverse Osmosis Treatment Plant - Generator - Box Elder Creek - 300kw standby,ATC,32
"Reverse Osmosis Treatment Plant - incl: Includes: treatment system, (1) 3hp and (1) 40hp pumps, controls, flowmeters, chemical feeders, valves, & piping",ATC,32
"Reverse Osmosis Treatment Plant - UKA-3 (Upper Araphoe) Water Well - incl: 446 feet deep, scada, & 1hp pump",ATC,32
Revolution (large raft slide),ATC,23
Revolution tower and Conveyor,ATC,23
Reynolds Landing - 10 Acres,ATC,23
RHWPF Ammonia Building,ATC,32
Ridge Pump Station,ATC,31
Ridge Run Tank,ATC,31
Ridgegate Flow Control Valve Vault,ATC,23
Ridgegate Isolation Valve Vault,ATC,23
Ridgeview Park,ATC,10
Ridgewood Pump Station #2 incl Site Improvements (Fencing),ATC,31
Ridgewood Water Tank incl Site Improvements (Fencing),ATC,31
Rifle Library,ATC,10
River Bend Lift Station,ATC,31
River Country (over Cimmaron) Bridge,ATC,23
River Country Fiberglass - 4 slides,ATC,0
River Country Lower Bridge,ATC,23
River Country(over Thunder River) Bridge,ATC,23
"River Queen Booster Station 2 - incl. (2) 40hp pumps, controls, scada, valves, & piping.",ATC,31
River Run Lift Station,ATC,31
River-Frame/Pump,ATC,31
Riverside Library,ATC,10
Riverstone Entry-2 Stone Pillars w/lamps,ATC,23
RO Plant,ATC,39
Roadway Improvements: Hot Bituminous Pavement,ATC,26
Robbins Park Playground Equipment,ATC,10
Robert A. Easton Regional Park/Shelter,ATC,10
Robinson Ranch Well Facility w/Telemetry,ATC,31
Rock Bridge Lake Pumps/Structures,ATC,31
Rock Bridge Pipe - 2,ATC,31
Rock Monument,ATC,10
Rock Retaining Wall,ATC,23
Rockrimmon Branch,ATC,23
"Rodeo Arena & Crows Nest, Concession Stands & Bleachers",ATC,10
Rolling Hills Booster Pump Station,ATC,31
Roofing Materials in Storage,ATC,6
Ropes Course,ATC,10
Ropes Course Equipment Shed,ATC,6
Rose Garden Gazebo,ATC,10
"round about landscaping Boulder, Rocks, Trees, Shrubs and plants",ATC,20
Roundabout Hardscaping,ATC,23
Roundabout with signage and landscaping,ATC,23
Rox Lift Station Chemical Handling Facility,ATC,15
Roxborough Library,ATC,10
Roxborough Lift Station,ATC,31
Roxborough Rampart Court Storage,ATC,6
RPS Generator - 1904,ATC,30
RR Lift Station - River Ranch,ATC,31
RTU - 42' BFV Telemetry Activator & Motor,ATC,23
RTU #11,ATC,23
RTU #12,ATC,23
RTU #13,ATC,23
RTU #14,ATC,23
RTU #15,ATC,23
RTU #16,ATC,23
RTU #17,ATC,23
RTU #18,ATC,23
RTU #25,ATC,23
RTU #27,ATC,23
RTU #28,ATC,23
RTU #29,ATC,23
RTU #3,ATC,23
RTU #30,ATC,23
RTU #4,ATC,23
RTU #5-two TRU Units,ATC,23
RTU #6,ATC,23
RTU #7,ATC,23
RTU #8-Carter Lake Station,ATC,10
RTU #9,ATC,23
RTU Twin Mounds,ATC,23
Rubber Surface Baseball Field w/dugouts @ Schaefer Athletic Complex,ATC,10
Rubberized Play Surface,ATC,10
Rubicon Gate & Telemetry System (HERIN),ATC,23
Rueter Hess Well House w/telemetry,ATC,31
Ruin Canyon Pump Plant,ATC,31
"Runway 35 Pool, bathhouse, fixtures & playground",ATC,10
Rustic Dawson Well w/Telemetry,ATC,31
S. Blue Pump Station - U/Ground Vault,ATC,31
S. Platte Park Garage,ATC,10
Sable Generator - 600kw capacity,ATC,30
"Sable Pump Station (incl: (5) 300hp & (3) 200hp pumps, VF drives & controls)",ATC,31
Sable Reservoir (3M capacity),ATC,36
Saddler PUD Pump Station,ATC,31
Saddlewood Park Playground,ATC,10
Safety Storage Building,ATC,6
Sales and Info Center and Garage,ATC,6
Sales Sign on New Liberty Rd.,ATC,23
Salisbury Heights,ATC,23
Sampling Building Actus,ATC,23
Sampling Building SAFB (Base),ATC,23
San Juan River Pump Station,ATC,31
San Juan WTP Building,ATC,23
Sand and Gravel Building,ATC,23
Sand Bin,ATC,23
Sand Creek Augmentation Station - Laser Flow Device,ATC,23
Sand Creek Branch,ATC,23
Sand Creek Elememtary - Shelter,ATC,23
Sand Creek Elementary - Restroom,ATC,10
Sand Filter Basin,ATC,23
Sand Storage,ATC,6
Sand Volleyball Court & Lighting,ATC,10
"Sandscape Curb 2' Step Out - 1,040 SF",ATC,23
"Sandscape Curb 2' Step Out - 1,406 SF",ATC,23
Sandscape Curb 2' Step Out - 498 SF,ATC,23
Sandscape Curb 2' Step Out - 770 LF,ATC,23
Sandscape Curb 2' Step Out - 866 SF,ATC,23
"Sandscape Curb 2' Step Out 1,156 SF",ATC,23
"Sandscape Sidewalks - 1,732 SF",ATC,23
"Sandscape Sidewalks - 1,825 SF",ATC,23
"Sandscape Sidewalks 4,880 SF",ATC,23
Sandstone Pavers - 4947,ATC,23
Sandstone Pavers - 616,ATC,23
Sandstone Pump Plant,ATC,31
Sandstone Pump Station SCADA,ATC,31
Sandstone Underground Water Pump Station,ATC,31
Sandstone Water PumpStation (20K Gallon Below Ground Tank),ATC,31
Sanitary Sewer - 4' Manholes,ATC,32
"Sanitary Sewer - 4"" Service Services",ATC,32
"Sanitary Sewer - 8"" PVC",ATC,32
Sanitary Sewer - R & R Asphalt,ATC,32
Sanitary Sewer - R & R Curb and Gutter,ATC,32
Sanitary Sewer - Utility Crossing,ATC,32
"Sanitary Sewer Improvements: 3-inch force main, valves, wyes, bends, manholes/flushing stations",ATC,32
Sanitary Sewer Water Reclamation Facility,ATC,32
Sanitation Lift Station,ATC,31
Sanitation Plant,ATC,39
Sanitation Plant Steel Building,ATC,39
Sanitation Treatment Plant - B w/ Improvements,ATC,32
Sanolet Enclosure @ Estates Park,ATC,10
Santa's House (Brown Shed for Ice Rink),ATC,10
"Santation and INF Building Sampler and Controls (w2 pumps and 2 motors @ $10,000 each",ATC,31
Sapinero Television Translator,ATC,23
Sargents - Television Translator & Bldg,ATC,23
Sawmill Lift Station,ATC,31
SBR Basins 1 - 2,ATC,23
SBR Basins 3 - 4,ATC,23
SC Floride System-PAFB,ATC,23
SC Garage,ATC,23
SCADA,ATC,32
SCADA - Airport Tank,ATC,31
SCADA - Head,ATC,32
SCADA - Site 1,ATC,32
SCADA - Site 1A,ATC,32
SCADA - Site 2,ATC,32
SCADA - Site 3,ATC,32
SCADA - Site 4,ATC,32
SCADA - Site 4A,ATC,32
SCADA - Site 5,ATC,32
SCADA - Site 6,ATC,32
SCADA at Pump Station #2 (3.84 acres),ATC,31
SCADA Controls and Conduits,ATC,32
SCADA Equipment and Controllers,ATC,20
SCADA Improvements - Water Control Building A,ATC,31
SCADA Improvements - Water Control Building B,ATC,31
SCADA System,ATC,32
SCADA System - System Wide,ATC,32
SCADA Systems (Strohauer),ATC,32
SCADA throughout District,ATC,32
SCADA with Vault,ATC,32
SCADA with Vault; Telephone Tower,ATC,32
SCADA/Other Controls at Water Treatment Plant,ATC,31
SCBA Maze,ATC,23
Scenic View Park Playground Equipment,ATC,10
Schaefer Athletic Complex:  Pump House,ATC,31
Scheduled Pumps and Wells on file 10/25/2013,ATC,31
School Connection Bridge,ATC,25
Schoolmarm Water Tank,ATC,25
Schriever AFB - Bulding #50,ATC,23
Scoreboard - Field 1,ATC,23
Scoreboard - Field 2,ATC,23
Scoreboard (Main + 2 Nevco Scoreboards),ATC,23
Scoreboards (6) @ Schaefer Athletic Complex,ATC,23
"Scott J. Morse Pump Station (incl permanently installed equipment, fence, and gate)",ATC,31
Screamin Mimi (sled ride),ATC,23
Screw Press & Accessories at WWTF,ATC,23
Sculptor Drive and Mountain Lion Drive,ATC,23
Sculpture Bases 82 @ $841.72,ATC,10
Sculpture Idenification 82 @ 257.19,ATC,10
Sculpture with Attached Bench,ATC,10
Scum Manhole,ATC,23
"SE 1/4 NW 1/4 S.1 T3, 6PM Tank",ATC,31
SE1/4 sec 35 & SW1/4 W1/2 of NW1/4 sec 36 twp 41N Rng 6E,ATC,23
Secondary,ATC,23
Secondary Clarifier 1,ATC,32
Secondary Clarifier 2,ATC,32
Secondary Clarifiers 1 & 2,ATC,32
Secondary Clarifiers Splitter Box,ATC,32
Secondary Complex,ATC,23
Secondary Entrance Wall,ATC,23
Secondary Farm Sign,ATC,23
Secondary Monument,ATC,10
Secrest Court 2.5M Gallon Concrete Tank,ATC,31
Secrest Recreation Center - Swimming Pool (Outdoor),ATC,10
"Secrest Recreation Center incl: gym, fitness center & lobby.  SI incl: flagpole, fencing, lighting, signage & paving.",ATC,10
Security Building/Gate House,ATC,23
Security Camera - 1 total (Silver Grill),ATC,23
Security Camera - 1 total Dalzell camera & pull power for camera,ATC,23
Security Camera - 1 total OFAE Parking Garage,ATC,11
Security Camera - 1 total OTS Bldg 1 (Tula),ATC,23
Security Camera - 1 total OTS Bldg 19 (DDA),ATC,23
Security Camera - 1 total OTS Bldg 5 (Coops),ATC,23
Security Camera - 1 total Tenney Alley Austins,ATC,23
Security Camera - 1 total Trimble Alley,ATC,23
Security Camera - 2 total OT Parking Garage Mountain,ATC,11
Security Camera - 3 total MFA,ATC,23
Security Camera - 3 total Opera Galleria,ATC,23
Security Camera - 3 total W Oak Alley,ATC,23
Security Camera - 4 total Linden & OFAE,ATC,23
Security Camera - 4 total WMtn Alley,ATC,23
Security Camera - 6 total Tenney Alley,ATC,23
Security Cameras,ATC,23
Security Entrance Building,ATC,23
Security Gate - Front entrance,ATC,23
Security Gates and Cameras,ATC,23
Security Office,ATC,8
Security Shack,ATC,23
Security System,ATC,23
Security System (2),ATC,23
Semi Box Storage Unit - FW,ATC,6
Sentry Wildfire Siren,ATC,24
Sep doc,ATC,23
Septic System for Control Boxes,ATC,23
Sequencing Batch Reactor at WWTP,ATC,32
"Seracuse Park-Clock,Bollard,Plaque",ATC,10
Serfer Locatoin,ATC,23
Service Center,ATC,8
Service Water Intake,ATC,31
Settlement Pond Park Playground,ATC,10
Settling Tubes,ATC,23
Sewage Lift Sewage Lift Station w/ Backup Power #2,ATC,32
Sewage Lift Sta - U/G Concrete Vault,ATC,32
Sewage Lift Station,ATC,32
"Sewage Lift Station incl: (3) 20hp pumps, controls, wetwell, & scada.",ATC,32
Sewage Lift Station w/ Backup Power #1,ATC,32
Sewage Meter Pit,ATC,32
Sewage Pump House,ATC,32
"Sewage Treatment Plant 3mgd capacity, including: (4) aeration basins, (3) 100hp and (4) 50hp blowers, (2) centrifuges, (3) clarifiers, (3) 15hp pumps, piping, & controls. SI: bollards, automatic gate, & railings",ATC,32
Sewage Treatment Shed,ATC,32
Sewer Aerial Crossing - Across Eagle River,ATC,32
Sewer Aerial Crossing - Across Squaw Crk,ATC,32
Sewer Aerial Crossing - at Glen Lyon Bldg,ATC,32
Sewer Aerial Crossing - Behind Stop & Save,ATC,32
Sewer Aerial Crossing - Minturn Bridge,ATC,32
Sewer Aerial Crossing - S Frontage,ATC,32
Sewer Aerial Crossing - S. Frontage Rd.,ATC,32
Sewer Aerial Crossing - West Vail Interceptor,ATC,32
Sewer Aerial Crossing-Bob the Bridge,ATC,32
Sewer Aerial Crossing-Bridge Rd,ATC,32
Sewer Aerial Crossing-Kinnikinnick Rd,ATC,32
Sewer Aerial Crossing-Kinnikinnik Rd,ATC,32
Sewer Aerial Crossings - Gore Creek Westhaven,ATC,32
Sewer Aerial Crossings-Gore Creek,ATC,32
Sewer House,ATC,32
Sewer Lagoons,ATC,32
Sewer Lift Pump Sta & Grinder,ATC,32
Sewer Lift Station,ATC,32
Sewer Lift Station  #3 (bldg 2 - generator),ATC,32
Sewer Lift Station - Underground Concrete Vault,ATC,32
Sewer Lift Station #1,ATC,32
Sewer Lift Station #1 including Generator,ATC,32
Sewer Lift Station #2,ATC,32
Sewer Lift Station #2 (generator),ATC,32
Sewer Lift Station #2 Control Panel,ATC,32
Sewer Lift Station #2 including propane tank,ATC,32
Sewer Lift Station #2 Propane Tank,ATC,32
Sewer Lift Station #3 (bldg 3 - 500 Gal Propane Tank),ATC,32
Sewer Lift Station #3 (Bldg 4 - Control Panel),ATC,32
Sewer Lift Station #3 (Bldg. 1),ATC,32
Sewer Lift station #3 (valve vault),ATC,32
Sewer Lift Station #4 including Generator,ATC,32
Sewer Lift Station #6 Control Panel,ATC,32
Sewer Lift Stations,ATC,32
Sewer Meter System,ATC,32
Sewer Metering Station,ATC,32
Sewer Odor Control Station,ATC,32
Sewer Pipe Bridge,ATC,32
Sewer Plant,ATC,32
Sewer Plant and Lift Station,ATC,32
Sewer Plant Garage,ATC,32
Sewer Treatment (Tract B),ATC,32
Sewer Treatment Application/Infiltrators,ATC,32
Sewer Treatment Plant,ATC,32
Sewer Treatment Plant - Blower Bldg.,ATC,32
Sewer Treatment Plant - Influent Bldg.,ATC,32
Sewer Treatment Plant -Chlorination Bldg,ATC,32
Shade Canopy,ATC,23
Shade Shelter,ATC,23
Shade Shelters,ATC,23
Shade Structure,ATC,23
Shade Structure - Trellis,ATC,23
Shade Structure (2),ATC,23
Shade Structure @ Sunset Park,ATC,10
Shade Structure 20'x20,ATC,23
Shade Structure and Benches on Trail,ATC,10
Shade Structure at Lake & Lake Park,ATC,10
Shade Structure at Maplewood Park,ATC,10
Shade Structure at Tibet Park,ATC,10
Shade Structure in Park,ATC,10
"Shade Structure, Benches, Bike Repair Station",ATC,10
Shade Structures,ATC,23
Shade Structures - Large,ATC,23
Shade Structures - Small,ATC,23
Shade Structures (6),ATC,23
Shade System Fabric Tornado Shade Structure (2),ATC,23
Shades in Pool Area,ATC,10
Shaft House & Equipment - Willow Creek,ATC,23
Shallow Lawn Well,ATC,31
Shed,ATC,6
Shed #1,ATC,6
Shed #2,ATC,6
Shed #3,ATC,6
Shed & Pad at Lift Station,ATC,31
"Shed (3-sided, 25' deep x 30' wide)",ATC,6
Shed 1,ATC,6
Shed 2,ATC,6
Shed 3,ATC,6
Shed 4,ATC,6
Shed A at 6th Street Park,ATC,10
Shed B at 6th Street Park,ATC,10
Shed Blue enclosed (12' wide x 16' deep),ATC,6
Shed/Tool Shop (16' x 18'),ATC,6
Shed/Water Pump (10' x 20'),ATC,31
"Sheds (2 @ $3,949.70 ea)",ATC,6
Shelter,ATC,23
Shelter - Discovery Park,ATC,10
Shelter #1 - East Park,ATC,10
Shelter #1 - West Park,ATC,10
Shelter #2 - East Park,ATC,10
Shelter #2 - West Park,ATC,10
Shelter #3 - East Park,ATC,10
Shelter & Playground @ Mossbrucker Park,ATC,10
Shelter & Restroom (2),ATC,10
Shelter @ Belleview Acres Park,ATC,10
Shelter @ Blue Heron Park,ATC,10
Shelter @ Chaucer Park,ATC,10
Shelter @ Christensen Meadows Park,ATC,10
Shelter @ Columbine Hills Park,ATC,10
Shelter @ Columbine Park and Pool,ATC,10
Shelter @ Easton Regional Park,ATC,10
Shelter @ Estates Park,ATC,10
Shelter @ Friendly Hills Greenbelt,ATC,23
Shelter @ Governor Grant Park,ATC,10
Shelter @ Lakehurst Park,ATC,10
Shelter @ Lilley Gulch Rec Center,ATC,23
Shelter @ Mossbrucker Park,ATC,10
Shelter @ Tract M Park,ATC,10
Shelter @ Trappers Glen Park,ATC,10
Shelter @ Valley View Park,ATC,10
Shelter @ Wayside Meadows Park,ATC,10
Shelter @ Weaver Hollow Park and Pool,ATC,10
Shelter @ West Laurel Park,ATC,10
Shelter @ Westbury Park,ATC,10
Shelter @ Wingate South Park,ATC,10
Shelter @ Woodmar Square Park,ATC,10
Shelter Dock @ Robert F. Clement Park,ATC,10
Shelter exp/Picnic & San-o-Lot,ATC,10
Shelter House - Tuff Shed,ATC,6
Shelter Houses (2),ATC,23
Shelter Houses (4),ATC,23
Shelter Houses (7) @ Robert F. Clement Park,ATC,10
Shelter Near Basketball Court,ATC,10
Shelter North at Town Park,ATC,10
Shelter Rectangle Hip 12X20 @ Schaefer Athletic Complex,ATC,23
Shelter South at Town Park,ATC,10
"Shelter, picnic tables, fencing",ATC,10
Shelters - 2 6th Ave West Greenbelt,ATC,23
Shelters 2 @ Columbine Sports Park,ATC,10
Shelters 2 @ Coronado Park,ATC,10
Shelters 3 @ Easton Regional Park,ATC,10
Shelters 9 (Phase 2) @ Robert F. Clement Park,ATC,10
Shelters at Common Point Shooting Range,ATC,23
Sheridan Community Center - Recreation Center,ATC,10
Sheridan Community Skateboard Park,ATC,10
Sherrelwood complex w/ Pump Stn,ATC,31
Shop,ATC,6
Shop - Austenfeld- Palmer,ATC,6
Shop - Large - New,ATC,6
Shop - old - small,ATC,6
Shop - Radios & IT equipment,ATC,6
Shop - Small - New,ATC,6
Shop & Equipment-Farr,ATC,6
Shop and Office,ATC,8
Shop and Office incl Gates,ATC,8
Shop and Pole Barn - incl. storage mezzanine.,ATC,6
Shop Building,ATC,6
Shop Building - Kramer Ranch,ATC,6
Shop Building & Scada Computer System,ATC,6
Shop Building/Restroom incl. BPP,ATC,10
Shop/Office,ATC,8
Shop/Office/Chemical,ATC,8
Shot Barrier Curtains,ATC,23
Shower Fountain,ATC,23
"Showers Building - Campground.  SI: fencing, baseball backstops, bleachers, basketball courts & playground equipment.",ATC,10
Shrub Beds,ATC,23
Shrub Beds - 550 SF,ATC,23
"Shrub Beds 1,396 SF",ATC,23
Shrubs (4),ATC,23
"Shrubs (9,821 at $64 each)",ATC,23
Shrubs (approximately 250),ATC,23
Sidewalk - 14583,ATC,23
"Sidewalk - 19,500",ATC,23
Sidewalk - Filing 1A Tract B,ATC,23
Sidewalk (10ft.) - Filing 2 Tract C,ATC,23
Sidewalk (4ft. w/ 3 Stairs) - Filing 1B,ATC,23
Sidewalk (6ft) - Filing 2 Tract C,ATC,23
Sidewalks,ATC,23
Siemens DCA Vantange Analyzer A1C,ATC,23
SIEP Office/Greenhouse Building,ATC,8
SIEP Office/Storage Building,ATC,8
Sierra Ridge Lift Station w/Telemetry,ATC,31
Sign,ATC,23
Sign - Boundary Marker with lanterns,ATC,23
Sign - Monument Hwy 34/Boyd Lake Ave.,ATC,10
Sign - Southeast Corner,ATC,23
Sign #1 - Belleview Shores,ATC,23
Sign #1 - Bowles Village,ATC,23
Sign #1 - Chanson Plaza,ATC,23
Sign #2 - Belleview Shores,ATC,23
Sign #2 - Bowles Village,ATC,23
Sign #2 - Chanson Plaza,ATC,23
Sign #3 - Belleview Shores,ATC,23
Sign #3 - Chanson Plaza,ATC,23
Sign #4 - Chanson Plaza,ATC,23
Sign #5 - Chanson Plaza,ATC,23
Sign (Northeast Corner),ATC,23
Sign A (Monument),ATC,10
Sign and Water Features,ATC,23
Sign at 257 & Eastman,ATC,23
Sign at Berry Park,ATC,10
Sign at Lake & Lake Park,ATC,10
Sign at Prentice & Valdai Park,ATC,10
Sign at Tibet Park,ATC,10
Sign at Yakima Park,ATC,10
Sign in Entrance Way @ Platte Canyon,ATC,23
Sign Located at 38th Street,ATC,23
Sign Pylons/Signs & Lights,ATC,23
Sign with Lights,ATC,23
Signage - East Boundary Marker,ATC,23
Signage - East Entry Sign,ATC,23
Signage - Eastside Directional Sign,ATC,23
Signage - Monument Hwy 34/Hahns Peak Dr.,ATC,10
Signage - Motorplex Entry,ATC,23
Signage - Motorplex Entry Sculpture,ATC,10
Signage - Motorplex I-25,ATC,23
Signage and Wall,ATC,23
Signage at Inspiration Club,ATC,23
Signage Eastside Directional Sign,ATC,23
Signage throughout District,ATC,23
Signs,ATC,23
Signs - Directional 14 @ $309.50,ATC,23
Signs - Light Rail Connection,ATC,23
Signs - Motorplex RAB Sculpture,ATC,10
Signs (Lettering on Wall),ATC,23
Signs (Lighted),ATC,23
"Signs (Stop Signs, Parking Signs, etc.)",ATC,11
Signs at Maplewood Park,ATC,10
Signs at Recreation Center,ATC,10
"Signs Interpretive 11@ $1,614.11",ATC,23
Signs Non lighted,ATC,23
"Signs, Fences, Planters Retaining Walls & Bus Shelters",ATC,39
Silo,ATC,31
Silo concession building,ATC,6
Silt Library,ATC,10
Silver Heights- Microwave & IT equipment,ATC,23
Silver Horn Lift Station with Improvements,ATC,31
Silver Wood Park - Trash Cans (2),ATC,10
Simla Road and Bridget Tower,ATC,23
"Simla State Tower - Microwave, Radio & IT Equipment",ATC,23
"Simms Street Center incl: offices, gym & classrooms.  SI incl. signage, fencing, benches, picnic tables, tennis courts & paving.",ATC,8
Singing Hills -Tank controls w/telemetry,ATC,31
Single Fold & Double Fold Limestone Art Sculptures (2),ATC,10
Single Head Hess Ped Light (7),ATC,23
Single Tree Community Ctr - Incl Outdoor Furniture & Parking Lot,ATC,11
Siphon #1 piping,ATC,23
Site Improvements - any scheduled location,ATC,23
Site Improvements/Tennis Courts,ATC,10
Site Lighting,ATC,23
Site Lighting & Control Panels,ATC,23
Site Lights,ATC,23
Site Utilites - Through District,ATC,23
"Sitework, Retaining Ponds, Site Concrete, Curb & Gutter, Undergrounds, Asphalt, Sidewalk",ATC,23
Sitting Area,ATC,23
Six (6) Bike Racks at $600 each,ATC,10
Six (6) Tree Gates - $1800 each,ATC,23
Sixth Ave. West Pool:  Poolhouse,ATC,10
Sixty-Six (66) lights at $3676 each,ATC,23
Skate Hut,ATC,23
Skate Park,ATC,10
Skate Park Equipment,ATC,10
Skate Ramp,ATC,23
"Skate Rink (Including Dasherboards, Matrax underlayment, 60 Skates, & Skate Sharpener)",ATC,23
Skateboard Park,ATC,10
Skating Rink: Open Metal Shelter Area,ATC,23
Ski Hill Underground Water Tank - 250k Gallons,ATC,31
"Ski Lodge/Office Space incl. deck.  SI: railings, play set, climber and bench.",ATC,10
Skier Bridge,ATC,23
Skier Funnel Bridge,ATC,23
Sky Ranch Concrete Tank - 1M Gallon capacity,ATC,31
"Sky Ranch High Service Pump Station Includes: (3) 50hp and (1) 15hp pumps, VF drives, 250kw standby generator, scada, & piping.",ATC,31
Skyland Well House,ATC,31
Slaughter House Gulch Trail,ATC,10
Slaughterhouse Gulch Park,ATC,10
Sledding Hill - Benches (2),ATC,10
Sledding Hill - Trash Cans (1),ATC,39
"Slide, Merry Go Round and Teeter Toter",ATC,23
Sludge & Handling Building,ATC,32
Sludge Plant,ATC,32
Sludge Plant & Processing Equipment,ATC,32
Sludge Thickener #1,ATC,32
Sludge Thickener #2,ATC,32
Sludge Transfer Building,ATC,32
Small Floating Boat Doc,ATC,23
"Small Gazebo, Sidewalk w/ Landscaping & Irrigation, and Playground Set",ATC,10
"Small Kids 20’ Hexagon Shelter, Benches, and Tables with Grill",ATC,10
Small Monument Sign,ATC,10
Small Office Building,ATC,8
"Small Office Building, new",ATC,8
Small Play Structure,ATC,10
Small Shelter @ Powderhorn Park,ATC,10
Small Shelters 4 @ Deer Creek Pool,ATC,10
Small Slide at Park #1,ATC,10
Small Stone Monument Sign,ATC,10
"Small storage building, new",ATC,6
Smith Irrigation Station,ATC,32
Smith Well One,ATC,31
Smith Well Two,ATC,31
Snow Bridge Employee Housing F-209,ATC,4
Snowball Booster Station,ATC,10
"Snowball Water Storage Tank - 250,000 GaL",ATC,31
Snowball Water Treatment Plant,ATC,31
Snowberry 1.5 Mil Gallon Water Tank #1,ATC,31
